t_s,phase,subphase,ias_ms,vapp_ms,spd_err_ms,agl_m,gear_h_m,vs_ms,pitch_deg,aoa_deg,hdg_deg,bank_deg,thr_cmd,thr_cur,thr_intg,at_gain,at_tau_s,at_a_up,at_a_dn,at_kp_thr,at_ki_spd,at_thr_slew,as_cmd_deg,as_cap_deg,as_raw_deg,as_spd_err_ms,as_active,aa_hdg_cmd_deg,aa_fpa_cmd_deg,aa_fbw,aa_dir,actual_fpa_deg,ftf_hdg_err_deg,ftf_fix_idx,kos_steer_pit_deg,kos_steer_hdg_deg,aa_dir_vx,aa_dir_vy,aa_dir_vz,aa_dir_pitch_deg,aa_dir_hdg_deg,ils_loc_m,ils_gs_m,ils_dist_km,loc_corr_deg,gs_corr_deg,gs_latched,active_gs_ang_deg,ils_intercept_alt_m,d_gs_ms,fpa_preclamped_deg,gs_nom_alt_m,flare_fpa_cmd,flare_tgt_vs,flare_frac,flare_mode,flare_auth_limited,flare_vs_err,flare_fpa_err,flare_pitch_err,flare_req_up_a,flare_thr_floor,flare_tecs_et_err,flare_tecs_eb_err,flare_tecs_h_ref,flare_tecs_v_ref,steer_hdg_deg,steer_blend,ro_loc_corr_deg,ro_hdg_err_deg,ro_yaw_tgt,ro_yaw_scale,ro_yaw_gate,yaw_cmd,roll_cmd,pitch_cmd,ro_pitch_tgt_deg,ro_pitch_err_deg,ro_pitch_ff,ro_roll_assist,flaps_cur,flaps_tgt,asc_j_ab,asc_j_rk,asc_validity,asc_q_pa,asc_q_raw_pa,asc_mach,asc_apo_m,asc_drag_n,asc_w_prop,asc_edot_aero,asc_edot_orb,asc_pitch_bias,asc_blend,asc_spooling,asc_ab_thr_ratio,asc_ab_t_now,asc_ab_t_avail,asc_ab_ign_on,asc_ab_flameouts,asc_rk_t_now,asc_rk_t_avail,asc_rk_ign_on,asc_rk_flameouts,ship_thrust,ship_avail_thrust,ship_ign_on,ship_flameouts,ifc_raw_dt_s,ifc_dt_s,ifc_loop_n,ifc_hz_est,ifc_raw_dt_max_s,ifc_raw_dt_min_s,phase_el_s,status,craft_name,cfg_file
3.61,APPROACH,ILS_TRACK,157.53,152,-5.53,587.69,507.95,-24.55,6.43,15.26,270.03,-0.076,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,4.472,20.321,4.472,5.572,1,269.94,0,0,1,-8.9,0,0,0,269.95,0.4825,-0.001,0.8759,0,269.94,0.46,-71.1,11.183,-0.055,32.753,1,3,667.01,-14.28,0,660.36,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.67,1108.84,2,0,0.175,0.175,21,5.71,0.175,0.175,3.61,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
3.96,APPROACH,ILS_TRACK,156.86,152,-4.86,580.11,499.46,-23.65,9.29,17.91,270,-0.16,0,0,0,1,0.6,4.5,0.75,0.35,0.0168,0.4,3.819,20.497,3.819,4.947,1,269.95,0,0,1,-8.64,0,0,0,269.94,0.4825,-0.001,0.8759,0,269.95,0.51,-75.78,11.126,-0.055,33.202,1,3,667.01,-13.085,0,657.37,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.54,1106.66,2,0,0.175,0.175,23,5.71,0.175,0.175,3.96,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
4.31,APPROACH,ILS_TRACK,155.68,152,-3.68,572.81,491.5,-21.62,11.83,19.69,269.97,-0.196,0.14,0,-1.45,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,20.813,0,3.825,0,269.95,0,0,1,-8.06,0,0,0,269.94,0.4826,-0.0009,0.8758,0,269.95,0.55,-80.14,11.069,-0.05,33.894,1,3,667.01,-12.315,0,654.4,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.79,1102.22,2,0,0.175,0.175,25,5.71,0.175,0.175,4.31,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
4.66,APPROACH,ILS_TRACK,153.99,152,-1.99,565.67,484.36,-19.56,12.19,19.19,269.97,-0.187,0.28,0,-2.356,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.284,0,2.153,0,269.95,0,0,1,-7.35,0,0,0,269.95,0.4827,-0.0008,0.8758,0,269.95,0.58,-84.38,11.013,-0.046,34.924,1,3,667.01,-12.011,0,651.46,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.14,1095.54,2,0,0.175,0.175,27,5.71,0.175,0.175,4.66,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
5.01,APPROACH,ILS_TRACK,152.53,152,-0.53,558.89,477.79,-18.28,11.54,18.07,269.97,-0.176,0.42,0,-2.711,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,21.703,0,0.666,0,269.96,0,0,1,-6.9,0,0,0,269.96,0.4828,-0.0008,0.8757,0,269.96,0.61,-88.32,10.957,-0.043,35.313,1,3,667.01,-11.02,0,648.54,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.29,1089.88,2,0,0.175,0.175,29,5.71,0.175,0.175,5.01,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
5.36,APPROACH,ILS_TRACK,151.33,152,0.67,552.42,471.57,-17.47,10.71,16.99,269.97,-0.167,0.56,0,-2.702,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,22.049,0,-0.561,0,269.96,0,0,1,-6.63,0,0,0,269.96,0.4829,-0.0007,0.8757,0,269.96,0.63,-91.96,10.902,-0.04,35.729,1,3,667.01,-10.178,0,645.64,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.48,1085.27,2,0,0.175,0.175,31,5.71,0.175,0.175,5.36,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
5.71,APPROACH,ILS_TRACK,150.33,152,1.67,546.23,465.58,-16.92,10.02,16.14,269.97,-0.143,0.7,0,-2.675,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,22.336,0,-1.578,0,269.96,0,0,1,-6.45,0,0,0,269.96,0.4829,-0.0006,0.8757,0,269.96,0.65,-95.32,10.847,-0.037,36.138,1,3,667.01,-9.427,0,642.77,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.04,1081.56,2,0,0.175,0.175,33,5.71,0.175,0.175,5.71,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
6.06,APPROACH,ILS_TRACK,149.55,152,2.45,540.29,459.74,-16.5,9.62,15.65,269.97,-0.123,0.84,0,-2.648,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,22.561,0,-2.377,0,269.97,0,0,1,-6.32,0,0,0,269.97,0.483,-0.0006,0.8756,0,269.97,0.66,-98.44,10.793,-0.035,36.527,1,3,667.01,-8.744,0,639.9,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.4,1078.77,2,0,0.175,0.175,35,5.71,0.175,0.175,6.06,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
6.41,APPROACH,ILS_TRACK,148.97,152,3.03,534.6,454.04,-16.14,9.6,15.56,269.97,-0.112,0.98,0,-2.622,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,22.731,0,-2.981,0,269.97,0,0,1,-6.21,0,0,0,269.97,0.4831,-0.0005,0.8756,0,269.97,0.67,-101.33,10.738,-0.031,36.862,1,3,667.01,-8.08,0,637.05,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.03,1076.78,2,0,0.175,0.175,37,5.71,0.175,0.175,6.41,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
6.76,APPROACH,ILS_TRACK,148.54,152,3.46,529.17,448.46,-15.73,9.98,15.85,269.97,-0.108,0.918,0,-1.46,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,22.855,0,-3.42,0,269.97,0,0,1,-6.08,0,0,0,269.97,0.4832,-0.0005,0.8755,0,269.97,0.67,-103.97,10.684,-0.028,37.096,1,3,667.01,-7.381,0,634.21,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295.08,1075.47,2,0,0.175,0.175,39,5.71,0.175,0.175,6.76,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
7.11,APPROACH,ILS_TRACK,148.23,152,3.77,523.99,443.03,-15.19,10.74,16.46,269.97,-0.102,0.8228,0,-0.177,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,22.945,0,-3.739,0,269.97,0,0,1,-5.9,0,0,0,269.97,0.4833,-0.0005,0.8755,0,269.97,0.67,-106.36,10.63,-0.028,37.213,1,3,667.01,-6.631,0,631.37,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340.64,1074.63,2,0,0.175,0.175,41,5.71,0.175,0.175,7.11,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
7.46,APPROACH,ILS_TRACK,147.96,152,4.04,519.07,437.87,-14.23,11.63,16.97,269.97,-0.089,0.7615,0,1.203,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,23.022,0,-4.015,0,269.98,0,0,1,-5.57,0,0,0,269.97,0.4833,-0.0004,0.8754,0,269.98,0.67,-108.49,10.576,-0.025,37.29,1,3,667.01,-5.93,0,628.53,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376.48,1073.91,2,0,0.175,0.175,43,5.71,0.175,0.175,7.46,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
7.81,APPROACH,ILS_TRACK,147.7,152,4.3,514.34,433.06,-13.35,11.94,16.94,269.97,-0.071,0.7329,0,2.679,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,23.096,0,-4.277,0,269.98,0,0,1,-5.23,0,0,0,269.98,0.4834,-0.0004,0.8754,0,269.98,0.66,-110.44,10.522,-0.023,37.445,1,3,667.01,-5.392,0,625.7,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405.92,1073.25,2,0,0.175,0.175,45,5.71,0.175,0.175,7.81,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
8.16,APPROACH,ILS_TRACK,147.52,152,4.48,509.92,428.54,-12.56,12.25,16.98,269.97,-0.057,0.6972,0,4.226,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,23.148,0,-4.461,0,269.98,0,0,1,-4.93,0,0,0,269.98,0.4835,-0.0003,0.8753,0,269.98,0.65,-112.1,10.468,-0.02,37.242,1,3,667.01,-4.516,0,622.88,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,431.17,1072.89,2,0,0.175,0.175,47,5.71,0.175,0.175,8.16,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
8.51,APPROACH,ILS_TRACK,147.41,152,4.59,505.82,424.31,-11.61,12.71,17.08,269.97,-0.043,0.6634,0,5.82,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,23.183,0,-4.584,0,269.98,0,0,1,-4.58,0,0,0,269.98,0.4836,-0.0003,0.8753,0,269.98,0.64,-113.43,10.414,-0.017,36.91,1,3,667.01,-3.6,0,620.05,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452.18,1072.75,2,0,0.175,0.175,49,5.71,0.175,0.175,8.51,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
8.86,APPROACH,ILS_TRACK,147.33,152,4.67,501.98,420.41,-10.72,12.94,16.99,269.97,-0.035,0.6373,0,7.448,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,23.206,0,-4.666,0,269.98,0,0,1,-4.24,0,0,0,269.98,0.4837,-0.0003,0.8753,0,269.98,0.63,-114.5,10.36,-0.015,36.613,1,3,667.01,-2.829,0,617.23,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,469.53,1072.76,2,0,0.175,0.175,51,5.71,0.175,0.175,8.86,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
9.21,APPROACH,ILS_TRACK,147.29,152,4.71,498.34,416.89,-9.66,12.67,16.23,269.97,-0.022,0.6149,0,9.092,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,23.217,0,-4.706,0,269.99,0,0,1,-3.81,0,0,0,269.99,0.4837,-0.0002,0.8752,0,269.99,0.61,-115.35,10.306,-0.012,36.471,1,3,667.01,-2.333,0,614.4,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483.85,1072.9,2,0,0.175,0.175,53,5.71,0.175,0.175,9.21,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
9.56,APPROACH,ILS_TRACK,147.41,152,4.59,494.96,413.63,-9.1,12.21,15.57,269.98,-0.008,0.551,0,10.718,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,23.19,0,-4.609,0,269.99,0,0,1,-3.57,0,0,0,269.99,0.4838,-0.0002,0.8752,0,269.99,0.6,-115.96,10.252,-0.012,36.025,1,3,667.01,-1.546,0,611.58,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,495.42,1073.64,2,0,0.175,0.175,55,5.71,0.175,0.175,9.56,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
9.91,APPROACH,ILS_TRACK,147.63,152,4.37,491.88,410.53,-8.66,12.16,15.4,269.98,0.005,0.4668,0,12.276,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,23.129,0,-4.394,0,269.99,0,0,1,-3.39,0,0,0,269.99,0.4839,-0.0002,0.8751,0,269.99,0.58,-116.28,10.198,-0.011,35.426,1,3,667.01,-0.679,0,608.74,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501.48,1074.8,2,0,0.175,0.175,57,5.71,0.175,0.175,9.91,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
10.26,APPROACH,ILS_TRACK,147.87,152,4.13,489.1,407.58,-8.18,12.62,15.74,269.98,0.016,0.4034,0,13.749,1,0.6,4.5,0.75,0.35,0.0168,0.4,0,23.06,0,-4.15,0,269.99,0,0,1,-3.21,0,0,0,269.99,0.484,-0.0002,0.8751,0,269.99,0.56,-116.28,10.144,-0.009,34.723,1,3,667.01,0.202,0,605.91,0,0,0,,0,0,0,0,0,0,0,0,0,0,270.07,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,VALID,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500.49,1076.06,2,0,0.175,0.175,59,5.71,0.175,0.175,10.26,FLYING,X10-F,0:/Integrated Flight Computer/aircraft/x10_f_cfg.ks (inferred preloaded)
